stop_code,stop_name,stop_lat,stop_lon
38833,מרכז ראשונים/הנחשול,31.984553,34.782828
38847,חיים ברלב/שדרות יצחק רבין,31.978011,34.764342
38854,מחנה צריפין/מועדון,31.963668,34.836363
38902,ברשבסקי/מנחם כהן,31.973257,34.812308
38904,יעקב פריימן/בנימין שמוטקין,31.975479,34.813355
38905,אנילביץ'/שלום אש,31.982177,34.789445
38906,נחמיה/בית העלמין,31.948552,34.822422
38907,יהודה הלוי/גבעתי,31.967681,34.815998
38911,גרינשפן/יגאל אלון,31.956842,34.814839
38912,השומר/האבות,31.959821,34.814747
38913,משה שרת/יעקב קנר,31.993406,34.754646
38914,מרכז ראשונים/הדייגים,31.98497,34.78262
38916,יוסף בורג/משואות יצחק,31.968049,34.818099
38917,יוסף בורג/כתריאל רפפורט,31.968936,34.820043
38920,שדרות משה דיין/יוסף לישנסקי,31.98568,34.764014
38921,השר חיים שפירא/יוסף ספיר,31.992583,34.751999
38922,השר חיים שפירא/הרב שלום ג'רופי,31.990757,34.755683
39001,שדרות יעקב/נחמיה,31.950002,34.819131
39002,שדרות יעקב/יוסף הנשיא,31.951813,34.820214
39569,אנילביץ/שלמה המלך,31.980533,34.789306
39937,רוז'נסקי/דוד רזיאל,31.987031,34.770425
39938,רוז'נסקי/דוד רזיאל,31.986975,34.770778
39941,מסוף קניון הזהב,31.989034,34.775225
39942,אברהם בר/רוז'נסקי,31.985865,34.774205
39943,קניון הזהב/דוד סחרוב,31.989251,34.774917
1243,פתח תקוה/זכרון יעקב,31.793459,35.201571
30001,צומת בית דגן,32.001227,34.820309
30011,איקאה/מרק מושביץ,31.950982,34.770578
31208,יוסף לישנסקי/דוד סחרוב,31.992394,34.766781
31266,כביש 42/נטעים,31.944577,34.781611
31283,דרך המכבים/שדרות הציונות,31.980172,34.808865
31285,לוי אשכול/ישראל גלילי,31.971982,34.774777
31290,קרית הלאום/ישראל גלילי,31.969901,34.781039
31322,לוי אשכול/ישראל גלילי,31.971672,34.774825
31332,הרצל/אהרון קרון,31.959982,34.802607
31339,ירושלים/החוחית,31.962228,34.81939
31342,דרך המכבים/פיק''א,31.973994,34.807102
31349,הרצל/קרן היסוד,31.971924,34.806218
