stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
3,38833,מרכז ראשונים/הנחשול,רחוב: הנחשול 30 עיר: ראשון לציון רציף:  קומה: ,31.984553,34.782828,0,,38833
17,38847,חיים ברלב/שדרות יצחק רבין,רחוב: חיים ברלב 5 עיר: ראשון לציון רציף:  קומה: ,31.978011,34.764342,0,,38847
24,38854,מחנה צריפין/מועדון,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.963668,34.836363,0,,38854
72,38902,ברשבסקי/מנחם כהן,רחוב: ברשבסקי 19 עיר: ראשון לציון רציף:  קומה: ,31.973257,34.812308,0,,38902
74,38904,יעקב פריימן/בנימין שמוטקין,רחוב: יעקב פריימן 9 עיר: ראשון לציון רציף:  קומה: ,31.975479,34.813355,0,,38904
75,38905,אנילביץ'/שלום אש,רחוב: אנילביץ' 13 עיר: ראשון לציון רציף:  קומה: ,31.982177,34.789445,0,,38905
76,38906,נחמיה/בית העלמין,רחוב: נחמיה 71 עיר: ראשון לציון רציף:  קומה: ,31.948552,34.822422,0,,38906
77,38907,יהודה הלוי/גבעתי,רחוב: יהודה הלוי 85 עיר: ראשון לציון רציף:  קומה: ,31.967681,34.815998,0,,38907
81,38911,גרינשפן/יגאל אלון,רחוב: גרינשפן עיר: ראשון לציון רציף:  קומה: ,31.956842,34.814839,0,,38911
82,38912,השומר/האבות,רחוב: השומר 22 עיר: ראשון לציון רציף:  קומה: ,31.959821,34.814747,0,,38912
83,38913,משה שרת/יעקב קנר,רחוב: משה שרת 28 עיר: ראשון לציון רציף:  קומה: ,31.993406,34.754646,0,,38913
84,38914,מרכז ראשונים/הדייגים,רחוב: הדייגים 45 עיר: ראשון לציון רציף:  קומה: ,31.98497,34.78262,0,,38914
86,38916,יוסף בורג/משואות יצחק,רחוב: ד''ר יוסף בורג 9 עיר: ראשון לציון רציף:  קומה: ,31.968049,34.818099,0,,38916
87,38917,יוסף בורג/כתריאל רפפורט,רחוב: ד''ר יוסף בורג עיר: ראשון לציון רציף:  קומה: ,31.968936,34.820043,0,,38917
90,38920,שדרות משה דיין/יוסף לישנסקי,רחוב: שדרות משה דיין עיר: ראשון לציון רציף:  קומה: ,31.98568,34.764014,0,,38920
91,38921,השר חיים שפירא/יוסף ספיר,רחוב: השר חיים משה שפירא 4 עיר: ראשון לציון רציף:  קומה: ,31.992583,34.751999,0,,38921
92,38922,השר חיים שפירא/הרב שלום ג'רופי,רחוב: השר חיים משה שפירא 16 עיר: ראשון לציון רציף:  קומה: ,31.990757,34.755683,0,,38922
94,39001,שדרות יעקב/נחמיה,רחוב: שדרות יעקב 65 עיר: ראשון לציון רציף:  קומה: ,31.950002,34.819131,0,,39001
95,39002,שדרות יעקב/יוסף הנשיא,רחוב: שדרות יעקב 53 עיר: ראשון לציון רציף:  קומה: ,31.951813,34.820214,0,,39002
642,39569,אנילביץ/שלמה המלך,רחוב: אנילביץ' 2 עיר: ראשון לציון רציף:  קומה: ,31.980533,34.789306,0,,39569
971,39937,רוז'נסקי/דוד רזיאל,רחוב: רוז'נסקי 10 עיר: ראשון לציון רציף:  קומה: ,31.987031,34.770425,0,,39937
972,39938,רוז'נסקי/דוד רזיאל,רחוב: רוז'נסקי 5 עיר: ראשון לציון רציף:  קומה: ,31.986975,34.770778,0,,39938
975,39941,מסוף קניון הזהב,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.989034,34.775225,1,,39941
976,39942,אברהם בר/רוז'נסקי,רחוב: אברהם בר 24 עיר: ראשון לציון רציף:  קומה: ,31.985865,34.774205,0,,39942
977,39943,קניון הזהב/דוד סחרוב,רחוב: דוד סחרוב 28 עיר: ראשון לציון רציף:  קומה: ,31.989251,34.774917,0,,39943
9446,1243,פתח תקוה/זכרון יעקב,רחוב: ראשון לציון 5 עיר: ירושלים רציף:  קומה: ,31.793459,35.201571,0,,1243
14599,30001,צומת בית דגן,רחוב:   עיר: ראשון לציון רציף:  קומה: ,32.001227,34.820309,0,,30001
14609,30011,איקאה/מרק מושביץ,רחוב: היוזמה 2 עיר: ראשון לציון רציף:  קומה: ,31.950982,34.770578,0,,30011
